262,243,209,74,195,683,542,355,33,237,
8,738,571,134,103,755,285,705,114,717,
491,538,220,871,696,186,957,105,232,590,
385,721,765,397,817,181,188,212,272,648,
499,746,76,839,873,480,417,524,184,594,
321,414,657,345,99,56,659,107,429,692,
716,849,557,286,335,177,760,889,915,166,
154,176,835,414,724,987,81,360,347,928,
102,985,277,95,967,262,5,594,781,183,
965,160,951,881,240,167,451,71,914,124,
83,487,838,265,526,497,758,66,972,895,
193,523,56,970,691,907,679,813,385,487,
961,216,377,381,712,880,164,460,28,510,
769,462,593,426,43,538,229,633,772,399,
934,151,311,976,309,734,792,389,839,256,
908,469,204,729,443,349,514,796,297,701,
827,169,137,182,395,143,913,557,378,898,
592,357,240,174,276,921,446,86,594,961,
576,276,328,325,852,361,337,499,372,898,
16,703,814,541,113,214,686,434,936,993,
725,377,125,496,729,249,672,405,889,815,
